,CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH,EMOC,EMOI,EMOO,PARTCR1,PARTCR2,PARTDR
135,CERC135,Atkinson,Inland Tanna,0,21,0,14,16,30,14,16,30,0,0,40,2.6,2,5,0,6,4,0,1,0,1,0,1,0,1,0,1,1,1,1,NA,1,4,0.67,0.67,1,0,NA,0,NA,NA,NA,NA,NA,NA,4,1,1,2,NA,1,1,1,1,NA,1,4,1,1,4,1,0,0,1,1,4,0,NA,1,4,NA,NA,3,NA,1,1,1,0,5,5,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
136,CERC136,Atkinson,Inland Tanna,0,12,1,19,11,30,16,14,30,0,0,40,2.6,2,5,0,7,4,1,-2,1,-1,1,0,1,0,1,-0.75,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,CERC137,Atkinson,Inland Tanna,0,12,1,14,16,30,14,16,30,0,0,21,-16.4,1,0,0,7,4,0,-1,0,-1,0,-1,0,-1,0,-1,1,0.5,1,0,0,1.67,0.67,0.67,4,0,NA,4,0,2,2,3,1,2,2,1,1,2,0,1,1,1,0.75,1,0.5,2.67,1,1,4,1,4,4,1,3,2,1,2,3,4,1,1,3,0,1,1,1,NA,4,5,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,0,0,4
138,CERC138,Atkinson,Inland Tanna,0,21,0,13,17,30,11,19,30,0,0,18,-19.4,1,0,0,7,4,0,1,0,0,0,0,0,0,0,0.25,1,0.25,0,0.5,0,4,1,1,4,0,NA,4,1,3,4,3,4,3,4,0,0,3,0,0,0,1,0.25,0,0.5,4,1,1,4,0,NA,4,1,3,4,3,4,3,4,0,0,3,0,0,0,0,-2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,0,1,4
139,CERC139,Atkinson,Inland Tanna,0,12,1,14,16,30,12,18,30,0,0,24,-13.4,4,1,0,2,4,0,1,0,1,0,1,0,1,0,1,0,0.75,1,0.5,0,3,0.33,0.33,4,1,4,4,1,2,4,2,2,2,3,1,1,1,0,1,1,1,0.75,1,0.5,0,0.33,0.33,4,1,4,4,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,0,0,0
140,CERC140,Atkinson,Inland Tanna,0,21,0,17,13,30,14,16,30,0,0,21,-16.4,1,0,4,5,4,0,1,0,1,0,1,0,1,0,1,NA,0.75,1,0.5,0,2.67,1,1,4,1,4,4,1,3,4,1,2,3,2,1,1,3,0,1,1,1,0.75,1,0.5,1.67,1,1,4,1,4,4,1,1,2,2,1,2,2,1,1,3,0,1,1,1,NA,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,0,4
141,CERC141,Atkinson,Inland Tanna,0,21,0,13,17,30,15,15,30,0,0,28,-9.4,1,0,0,6,4,0,1,0,1,0,1,0,1,0,1,0,0.75,1,0.5,0,2.67,1,1,4,1,4,4,1,2,2,1,2,1,4,1,1,3,0,1,1,1,0.75,1,0.5,2.67,1,1,0,1,1,4,1,3,4,1,2,3,2,1,1,3,0,1,1,1,NA,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,1,2
142,CERC142,Atkinson,Inland Tanna,0,12,1,17,13,30,17,13,30,0,0,21,-16.4,2,1,9,3,4,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,D/K,0,4
143,CERC143,Atkinson,Inland Tanna,0,12,1,19,11,30,14,16,30,0,0,20,-17.4,1,0,0,7,4,0,1,0,-2,0,1,0,0,0,0,0,NA,NA,NA,1,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,0,4
144,CERC144,Atkinson,Inland Tanna,0,21,0,19,11,30,11,19,30,0,0,19,-18.4,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0.33,0.33,4,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,NA,1,1,1,2,1,2,1,2,1,1,3,1,1,1,1,1,5,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,0,4
145,CERC145,Atkinson,Inland Tanna,0,21,0,14,16,30,12,18,30,0,0,20,-17.4,2,0,0,2,4,0,1,0,1,0,1,0,1,0,1,1,0.5,1,0,0,4,1,1,4,0,NA,4,0,1,4,3,4,3,4,1,1,3,0,1,1,1,0.25,0,0.5,4,1,1,3,0,NA,4,1,1,4,3,4,1,4,0,0,3,0,1,1,1,2,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,4
146,CERC146,Atkinson,Inland Tanna,0,12,1,14,16,30,11,19,30,0,0,26,-11.4,1,0,6,5,4,1,0,0,0,1,0,1,-1,0.75,-0.25,1,0.25,0,0.5,0,4,NA,NA,1,0,NA,0,0,NA,NA,1,4,1,4,0,0,NA,1,1,1,1,0.5,0.5,0.5,2.33,1,1,2,0,NA,0,1,2,3,1,0,1,4,1,0,3,0,1,1,1,-1,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,0,0,4
147,CERC147,Atkinson,Inland Tanna,0,21,0,14,16,30,15,15,30,0,0,51,13.6,2,7,0,5,4,0,1,1,0,1,0,1,-1,0.75,0,0,1,1,1,0,0.67,0.33,0.33,2,0,NA,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.25,0,0.5,0,0.33,0.33,4,1,2,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,1,4
148,CERC148,Atkinson,Inland Tanna,0,21,0,16,14,30,17,13,30,0,0,26,-11.4,3,0,0,6,4,0,-1,0,-1,0,-1,0,-1,0,-1,1,1,1,1,0,4,1,1,4,1,NA,4,1,3,4,3,4,3,4,1,1,3,NA,1,1,1,0.75,1,0.5,4,1,1,4,1,4,3,1,3,4,3,4,3,4,1,1,3,0,1,1,1,-2,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,1,4
149,CERC149,Atkinson,Inland Tanna,0,21,0,18,12,30,14,16,30,0,0,21,-16.4,1,0,0,2,4,1,1,0,0,0,1,0,1,0.25,0.75,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,CERC150,Atkinson,Inland Tanna,0,21,0,17,13,30,21,9,30,0,0,23,-14.4,3,1,0,5,4,0,1,0,1,0,1,0,1,0,1,0,0,NA,0,0,NA,NA,NA,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,0,4
151,CERC151,Atkinson,Inland Tanna,0,21,0,17,13,30,19,11,30,0,1,64,26.6,2,7,0,8,4,0,1,0,1,0,1,0,1,0,1,1,0.75,1,0.5,0,0,1,1,4,1,4,4,0,0,0,0,0,0,0,1,1,3,1,1,1,1,0.25,0.5,0,0,1,1,4,1,1,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,1,4
152,CERC152,Atkinson,Inland Tanna,0,21,0,15,15,30,15,15,30,0,1,68,30.6,2,11,0,7,4,0,2,0,2,0,2,0,2,0,2,1,0.75,1,0.5,0,0,1,1,4,1,4,4,0,0,0,0,0,0,0,1,1,3,1,1,1,1,0.5,0.5,0.5,0,1,1,4,1,4,4,0,0,0,0,0,0,0,0,1,3,1,1,1,1,0,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,0,0,4
153,CERC153,Atkinson,Inland Tanna,0,21,0,13,17,30,14,16,30,0,1,65,27.6,2,8,0,5,4,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,3.33,1,1,4,1,2,4,1,1,4,1,4,1,2,1,1,3,1,1,1,1,0.75,0.5,1,4,1,1,4,1,1,4,1,1,4,1,4,1,4,1,0,3,1,1,1,1,0,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
154,CERC154,Atkinson,Inland Tanna,0,12,1,15,15,30,14,16,30,0,1,50,12.6,2,9,0,9,4,0,1,0,1,0,1,0,1,0,1,NA,0.75,1,0.5,0,1.33,1,1,4,1,4,4,1,1,2,1,0,1,2,1,1,3,0,1,1,1,0.75,1,0.5,1,1,1,4,1,4,4,1,3,0,3,1,1,2,1,1,3,0,1,1,1,NA,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,0,4
155,CERC155,Atkinson,Inland Tanna,0,12,1,14,16,30,15,15,30,0,1,45,7.6,2,6,0,8,4,0,1,0,1,0,1,0,1,0,1,NA,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,2,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,0,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
156,CERC156,Atkinson,Inland Tanna,0,12,1,10,20,30,14,16,30,0,1,42,4.6,2,6,0,7,4,0,2,0,2,0,2,1,0,0.25,1.5,NA,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,2,1,2,2,1,3,4,3,4,3,4,1,1,3,1,1,1,1,2,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
157,CERC157,Atkinson,Inland Tanna,0,12,1,17,13,30,13,17,30,0,1,38,0.6,2,5,0,6,4,1,1,1,1,1,1,1,1,1,1,NA,0.5,1,0,0,0,1,1,4,1,4,4,0,0,0,0,0,0,0,1,1,3,0,1,1,1,0.75,1,0.5,1.33,1,1,4,1,4,4,0,0,0,1,0,1,4,1,1,3,1,1,1,1,0,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,0,0,4
158,CERC158,Atkinson,Inland Tanna,0,21,0,16,14,30,15,15,30,0,1,25,-12.4,1,0,0,5,4,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,1,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,0,0,4
159,CERC159,Atkinson,Inland Tanna,0,21,0,15,15,30,15,15,30,0,1,27,-10.4,1,0,0,6,4,1,0,1,0,1,0,1,0,1,0,NA,1,1,1,0,3,1,1,4,1,4,4,1,3,3,3,2,3,4,1,1,3,1,1,1,1,1,1,1,2,1,1,4,1,4,4,1,3,2,3,2,3,2,1,1,3,1,1,1,1,2,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
160,CERC160,Atkinson,Inland Tanna,0,21,0,16,14,30,14,16,30,0,1,40,2.6,2,5,0,7,4,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,4,1,1,4,1,4,4,1,3,4,1,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,0,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,4
161,CERC161,Atkinson,Inland Tanna,0,12,1,13,17,30,12,18,30,0,1,38,0.6,2,4,0,6,4,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,1,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,4,1,2,4,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,0
162,CERC162,Atkinson,Inland Tanna,0,21,0,18,12,30,13,17,30,0,1,30,-7.4,2,3,0,5,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,NA,1,1,1,1,1,1,4,1,1,4,1,4,2,1,3,4,3,4,3,4,1,1,3,NA,1,1,1,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,0,0,4
163,CERC163,Atkinson,Inland Tanna,0,12,1,10,20,30,7,23,30,0,1,33,-4.4,2,3,0,5,4,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,4
164,CERC164,Atkinson,Inland Tanna,0,21,0,16,14,30,20,10,30,0,1,69,31.6,2,5,0,7,4,0,2,0,2,0,2,0,2,0,2,1,1,1,1,0,4,1,1,4,1,4,4,1,1,4,1,4,3,4,1,1,3,1,1,1,1,1,1,1,3,1,1,4,1,4,4,1,3,4,3,4,0,1,1,1,3,1,1,1,1,1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
165,CERC165,Atkinson,Inland Tanna,0,12,1,16,14,30,19,11,30,0,1,36,-1.4,2,5,0,7,4,1,-1,0,-1,0,-1,0,-1,0.25,-1,1,1,1,1,0,0.33,1,1,2,1,1,4,1,NA,0,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1.33,1,1,4,1,4,0,1,1,4,1,0,1,0,1,1,3,1,1,1,1,1,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
166,CERC166,Atkinson,Inland Tanna,0,12,1,14,16,30,15,15,30,0,1,60,22.6,2,10,0,4,4,1,-1,0,-1,0,-1,0,-1,0.25,-1,0,0.75,1,0.5,0,2,1,1,4,1,4,4,1,3,1,2,1,3,4,1,1,3,0,1,1,1,0.75,1,0.5,2.33,1,1,4,1,4,4,1,1,3,1,2,3,2,1,1,3,0,1,1,1,NA,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,4
167,CERC167,Atkinson,Inland Tanna,0,12,1,14,16,30,16,14,30,0,1,45,7.6,2,5,0,6,4,0,-1,0,-1,0,-1,0,-1,0,-1,0,0.75,1,0.5,0,2,1,1,4,1,4,4,1,3,2,2,2,3,2,1,1,3,0,1,1,1,0.75,1,0.5,1.33,1,1,4,1,4,4,1,2,2,1,0,3,2,1,1,3,0,1,1,1,NA,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,0,0,4
