,CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH,EMOC,EMOI,EMOO,PARTCR1,PARTCR2,PARTDR
168,CERC168,Atkinson,Inland Tanna,0,21,0,14,16,30,15,15,30,0,1,27,-10.4,2,1,0,7,4,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,4,1,1,4,1,4,4,1,3,4,NA,4,3,4,1,1,3,1,1,1,1,1,1,1,4,0.33,0.33,4,1,NA,4,1,3,4,3,4,3,4,1,1,1,1,1,1,NA,-1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
169,CERC169,Atkinson,Inland Tanna,0,21,0,15,15,30,20,10,30,0,1,19,-18.4,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,NA,0.75,1,0.5,0,3,1,1,4,1,2,2,1,2,3,2,2,2,4,1,1,3,0,1,1,1,0.75,1,0.5,3.33,1,1,4,1,4,4,1,2,2,2,4,2,4,1,1,3,0,1,1,1,NA,4,4,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,0,0,4
170,CERC170,Atkinson,Inland Tanna,0,21,0,13,17,30,12,18,30,0,1,19,-18.4,1,0,0,9,4,0,1,0,1,1,1,0,1,0.25,1,NA,0.75,1,0.5,0,3.33,1,1,4,1,4,4,1,3,4,2,3,3,3,1,1,3,0,1,1,1,0.75,1,0.5,3.33,1,1,4,1,4,4,1,3,4,3,2,3,4,1,1,3,0,1,1,1,NA,5,4,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,0,0,4
171,CERC171,Atkinson,Inland Tanna,0,12,1,16,14,30,13,17,30,0,1,41,3.6,2,8,0,9,4,1,-1,0,-1,0,-1,0,-1,0.25,-1,1,0.75,1,0.5,0,2,1,1,4,1,4,4,1,3,2,1,2,2,2,1,1,3,0,1,1,1,0.75,1,0.5,2,1,1,4,1,4,4,1,2,2,3,2,3,2,1,1,3,0,1,1,1,NA,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,0,0,4
172,CERC172,Atkinson,Inland Tanna,0,21,0,13,17,30,19,11,30,0,1,60,22.6,2,5,0,6,4,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,1,1,NA,NA,1,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,2.67,1,1,4,1,1,1,1,1,4,1,0,1,4,1,0,3,0,1,1,1,0,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,0
173,CERC173,Atkinson,Inland Tanna,0,21,0,14,16,30,16,14,30,0,1,58,20.6,2,5,0,7,4,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,NA,1,1,1,1,1,1,3.33,1,1,4,1,4,4,1,3,4,3,2,3,4,1,1,3,1,1,1,1,2,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,1,4
174,CERC174,Atkinson,Inland Tanna,0,12,1,14,16,30,17,13,30,0,1,25,-12.4,2,0,0,7,4,0,1,0,1,1,1,1,1,0.5,1,1,1,1,1,0,3.33,1,1,4,1,4,4,1,3,4,1,2,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,2,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
175,CERC175,Atkinson,Inland Tanna,0,21,0,14,16,30,14,16,30,0,1,35,-2.4,2,4,12,6,4,1,1,1,1,1,1,1,1,1,1,0,0.75,1,0.5,0,2.67,0.67,0.67,1,0,NA,4,1,2,2,2,2,1,4,1,1,2,0,1,1,1,1,1,1,2.67,1,1,1,1,2,4,1,2,4,1,2,1,2,1,1,3,NA,1,1,1,2,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
176,CERC176,Atkinson,Inland Tanna,0,12,1,15,15,30,19,11,30,0,1,55,17.6,2,0,0,4,4,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,0.75,1,0.5,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,0,1,1,1,0,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
177,CERC177,Atkinson,Inland Tanna,0,21,0,5,25,30,1,29,30,0,1,71,33.6,2,10,0,7,4,1,1,0,1,0,1,0,1,0.25,1,1,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,2,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
178,CERC178,Atkinson,Inland Tanna,0,12,1,18,12,30,19,11,30,0,1,20,-17.4,1,0,1,6,4,1,1,1,1,0,1,0,1,0.5,1,1,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,0,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,1,4
179,CERC179,Atkinson,Inland Tanna,0,12,1,18,12,30,16,14,30,0,1,20,-17.4,1,0,0,4,4,0,1,0,1,1,1,0,1,0.25,1,0,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,4,0,1,3,4,3,4,3,4,1,1,3,NA,1,1,1,NA,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,4
180,CERC180,Atkinson,Inland Tanna,0,12,1,13,17,30,15,15,30,0,1,26,-11.4,2,0,5,2,4,0,1,0,-2,0,2,0,-2,0,-0.25,1,1,1,NA,1,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,0.5,0.5,0.5,3,1,1,4,1,1,0,1,1,4,1,4,1,1,1,0,3,0,1,1,1,1,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,0,0,4
181,CERC181,Atkinson,Inland Tanna,0,12,1,17,13,30,14,16,30,0,1,33,-4.4,2,1,0,5,4,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,3,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,1,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,1,4
182,CERC182,Atkinson,Inland Tanna,0,12,1,14,16,30,17,13,30,0,1,33,-4.4,1,0,0,7,4,0,-1,0,-1,1,0,1,-1,0.5,-0.75,NA,0.75,1,0.5,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,0,1,1,1,1,1,1,4,1,1,4,1,4,4,1,3,4,2,4,2,4,1,1,3,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,4
183,CERC183,Atkinson,Inland Tanna,0,12,1,25,5,30,4,26,30,0,1,21,-16.4,2,1,1,3,4,0,1,0,1,1,0,1,0,0.5,0.5,0,1,1,1,0,2.67,1,1,4,1,4,4,1,3,0,3,4,3,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,4,4,1,2,4,2,4,2,4,1,1,3,1,1,1,1,-2,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
184,CERC184,Atkinson,Inland Tanna,0,12,1,15,15,30,15,15,30,0,1,28,-9.4,2,4,0,6,4,0,0,0,1,0,0,1,0,0.25,0.25,0,NA,NA,NA,1,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0.33,0.33,1,1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,1,0,NA,1,1,1,5,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,0,0,4
185,CERC185,Atkinson,Inland Tanna,0,12,1,NA,NA,NA,13,17,30,0,1,19,-18.4,1,0,6,6,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,CERC186,Atkinson,Inland Tanna,0,21,0,13,17,30,13,17,30,0,1,52,14.6,2,4,0,6,4,0,2,0,2,0,2,0,2,0,2,NA,1,1,1,0,4,1,1,4,1,4,4,1,3,4,3,4,3,4,1,1,3,1,1,1,1,0.75,1,0.5,2,1,1,3,1,1,1,1,3,2,3,2,3,2,1,1,3,0,1,1,1,0,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,1,3
187,CERC187,Atkinson,Inland Tanna,0,21,0,11,19,30,16,14,30,0,1,47,9.6,2,8,0,10,4,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,2.67,1,1,3,1,4,4,1,1,4,1,0,1,4,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,3,4,1,4,2,4,1,1,3,1,1,1,0,1,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,0,4
188,CERC188,Atkinson,Inland Tanna,0,12,1,17,13,30,15,15,30,0,1,30,-7.4,1,0,0,2,4,0,1,0,1,0,1,0,1,0,1,0,0.67,1,0.5,0,4,NA,NA,4,0,NA,0,1,NA,NA,NA,NA,NA,4,1,NA,NA,0,1,1,1,1,1,1,2,NA,NA,4,0,NA,0,1,3,1,3,1,3,4,1,1,NA,NA,NA,NA,1,0,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,0,0,4
189,CERC189,Willard,Lovu,1,21,0,17,13,30,11,19,30,0,0,50,12.6,2,2,8,3,2,1,2,1,2,1,0,1,1,1,1.25,NA,1,1,1,0,3.67,0.33,0.33,0,1,1,2,1,2,4,3,4,1,3,1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,3,3,3,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,Often,Never,Never
190,CERC190,Willard,Lovu,1,12,1,12,18,30,18,12,30,0,0,44,6.6,2,2,11,4,2,0,2,0,2,0,2,0,2,0,2,NA,1,1,1,0,2.33,0.67,0.67,0,1,0,1,1,3,2,2,2,3,3,1,1,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,Every Friday,0,twice
191,CERC191,Willard,Lovu,0,21,0,12,18,30,16,14,30,1,1,24,-13.4,1,0,19,5,2,0,-1,1,1,0,1,0,1,0.25,0.5,NA,1,1,1,0,2,0.67,0.67,1,1,1,1,1,1,4,1,1,2,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,every week,no,2
192,CERC192,Willard,Lovu,1,21,0,17,13,30,11,19,30,0,1,18,-19.4,1,NA,13,6,2,1,2,1,2,1,2,0,1,0.75,1.75,NA,0.75,1,0.5,0,3.33,1,1,0,1,1,1,1,1,4,1,2,1,4,1,1,3,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,sometimes,once a yr ,NA
193,CERC193,Willard,Lovu,1,12,1,13,17,30,14,16,30,0,0,31,-6.4,2,2,6,4,2,1,-2,1,-1,1,-1,1,-1,1,-1.25,NA,1,1,1,0,2.67,0.33,0.33,0,1,0,1,1,1,2,3,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3times,never,3x
194,CERC194,Willard,Lovu,0,21,0,8,22,30,17,13,30,0,1,42,4.6,2,2,6,3,2,0,-2,0,-2,1,-2,0,-2,0.25,-2,NA,0.75,1,0.5,0,2.33,0.33,0.33,0,1,0,3,1,2,2,2,4,1,1,1,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,daily,yrly,daily
195,CERC195,Willard,Lovu,0,12,1,10,20,30,9,21,30,0,1,20,-17.4,1,NA,15,5,2,1,-1,0,-1,1,-1,1,-1,0.75,-1,NA,1,1,1,0,4,1,1,1,1,0,3,1,3,4,3,4,3,4,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,everyek,no,everyday
196,CERC196,Willard,Lovu,0,12,1,17,13,30,10,20,30,0,1,32,-5.4,2,2,8,4,2,1,1,1,-2,1,-2,1,-2,1,-1.25,NA,0.5,0.5,0.5,0,4,1,1,1,1,1,3,1,1,4,3,4,3,4,1,0,3,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,1,2 hrs,days
197,CERC197,Willard,Lovu,1,12,1,16,14,30,12,18,30,0,1,66,28.6,2,3,7,2,2,1,-2,1,-2,1,-2,1,-2,1,-2,NA,0.75,1,0.5,0,2,0.67,0.67,0,1,1,3,1,2,2,2,2,3,2,1,1,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,tuesdays,never,Tuesday
198,CERC198,Willard,Lovu,1,12,1,14,16,30,14,16,30,0,0,23,-14.4,2,2,10,7,2,1,0,1,0,1,0,1,0,1,0,NA,1,1,1,0,2.33,1,1,0,1,1,3,1,1,1,2,2,3,4,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,everywk,no,every tues
199,CERC199,Willard,Lovu,1,12,1,19,11,30,14,16,30,0,1,20,-17.4,1,0,16,7,2,0,-2,0,-2,0,-2,0,2,0,-1,NA,0.75,1,0.5,0,4,0.67,0.67,0,1,1,3,1,3,4,3,4,3,4,1,1,2,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,whenever it happens,Never,4 days
200,CERC200,Willard,Lovu,1,12,1,11,19,30,14,16,30,1,1,19,-18.4,1,0,15,6,1,1,1,0,2,1,0,1,-1,0.75,0.5,NA,1,1,1,0,2.33,0.67,0.67,0,1,1,1,1,1,1,2,2,3,4,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2 wks,NA,1 year
201,CERC201,Willard,Lovu,0,21,0,13,17,30,13,17,30,0,1,20,-17.4,1,NA,13,6,1,0,2,0,2,0,2,0,2,0,2,NA,0.75,1,0.5,0,3.33,0.67,0.67,0,1,1,2,1,2,3,2,3,3,4,1,1,2,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,evertime,no,always
202,CERC202,Willard,Lovu,0,21,0,20,10,30,15,15,30,0,0,55,17.6,5,4,8,3,2,0,2,0,2,0,2,0,2,0,2,NA,0.75,1,0.5,0,2.33,0.67,0.67,0,1,0,2,1,2,2,1,3,2,2,1,1,2,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,tuesdays,never,2 days
203,CERC203,Willard,Lovu,0,12,1,16,14,30,17,13,30,0,1,34,-3.4,2,2,10,5,2,0,-1,0,-1,0,-1,0,-1,0,-1,NA,0.5,0.5,0.5,0,0.67,0.67,0.67,1,0,4,1,0,2,0,0,1,2,1,0,1,2,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,1month,NA,1month
204,CERC204,Willard,Lovu,0,21,0,17,13,30,17,13,30,0,0,24,-13.4,2,2,NA,12,2,1,-2,1,-2,1,-2,1,-1,1,-1.75,NA,1,1,1,0,4,0.67,0.67,0,NA,NA,3,1,3,4,3,4,3,4,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,4,2,3,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,not often,Never,tuesdays
205,CERC205,Willard,Lovu,1,12,1,20,10,30,18,12,30,0,0,54,16.6,5,4,8,1,2,1,-2,1,-2,1,-1,1,0,1,-1.25,NA,0.75,1,0.5,0,2.67,1,1,0,1,0,1,1,2,3,2,2,2,3,1,1,3,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,never,Never,not anymore
206,CERC206,Willard,Lovu,0,21,0,15,15,30,14,16,30,0,0,48,10.6,2,2,9,5,2,0,-1,0,-1,0,-1,1,1,0.25,-0.5,NA,1,1,1,0,2,0.67,0.67,0,1,0,1,1,1,1,1,3,3,2,1,1,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,everyday,yearl;y,everyday
207,CERC207,Willard,Lovu,0,21,0,18,12,30,10,20,30,0,0,62,24.6,1,0,2,1,1,1,2,1,-2,0,-2,0,0,0.5,-0.5,NA,1,1,1,0,3.33,1,1,0,1,1,3,1,1,3,3,3,2,4,1,1,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,everday,1,NA
208,CERC208,Willard,Lovu,1,12,1,11,19,30,16,14,30,0,0,60,22.6,5,1,7,2,2,1,-1,1,-1,1,-2,1,0,1,-1,NA,1,1,1,0,2,0.67,0.67,0,1,0,1,1,1,2,2,2,3,2,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,every tues,never,tues
209,CERC209,Willard,Lovu,0,12,1,11,19,30,18,12,30,0,1,40,2.6,2,2,9,6,2,1,-1,1,-1,1,-1,1,-1,1,-1,NA,1,1,1,0,4,1,1,0,1,1,3,1,3,4,3,4,3,4,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,every tues/fri,never,every year
210,CERC210,Willard,Lovu,0,12,1,17,13,30,11,19,30,0,0,43,5.6,5,2,10,1,2,1,1,1,1,1,0,1,0,1,0.5,NA,1,1,1,0,3.33,0.33,0.33,0,1,0,3,1,2,2,1,4,3,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,everyday1,no,1 year
211,CERC211,Willard,Lovu,1,12,1,11,19,30,16,14,30,0,0,65,27.6,5,3,8,8,2,1,-2,1,-2,1,-2,1,0,1,-1.5,NA,0.75,1,0.5,0,2.67,0.67,0.67,0,1,0,2,1,2,3,3,2,3,3,1,1,2,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,everyday,Never,everyday
212,CERC212,Willard,Lovu,1,21,0,17,13,30,19,11,30,0,0,67,29.6,2,1,8,2,2,1,1,1,-2,1,-2,1,-2,1,-1.25,NA,1,1,1,0,4,1,1,0,1,0,3,1,3,4,3,4,3,4,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,everyyr,not often,wkly
213,CERC213,Willard,Lovu,1,21,0,15,15,30,15,15,30,0,0,55,17.6,2,4,2,2,2,0,-2,0,-2,0,-2,0,-2,0,-2,NA,1,1,1,0,3,1,1,0,1,0,1,1,3,3,2,3,2,3,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,no,no,everyday
214,CERC214,Willard,Lovu,0,21,0,19,11,30,20,10,30,0,0,64,26.6,5,7,5,1,2,1,-2,1,0,1,0,1,0,1,-0.5,NA,1,1,1,0,4,1,1,0,1,1,3,1,3,4,3,4,3,4,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,yrly,never,daily
215,CERC215,Willard,Lovu,1,12,1,13,17,30,18,12,30,0,0,50,12.6,2,2,10,3,2,1,-1,1,-1,1,-1,1,-1,1,-1,NA,1,1,1,0,3.33,0.33,0.33,0,0,NA,2,1,2,3,1,3,2,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,NA,no,mon-fri
